id_sensor,timestamp,temperatura_c,voltaje_v,corriente_ma,estado
S01,2026-08-01 00:00:00,34.53,5.178,100.0,OK
S04,2026-08-01 00:01:00,26.21,4.847,153.7,OK
S03,2026-08-01 00:02:00,27.66,4.721,109.4, Ok
S02,2026-08-01 00:03:00,45.65,5.015,140.9,OK
S02,2026-08-01 00:04:00,,5.14,121.4,ok 
S04,2026-08-01 00:05:00,29.52,5.27,111.8, Ok
S01,2026-08-01 00:06:00,44.18,5.077,83.8, Ok
S03,2026-08-01 00:07:00,49.53,4.944,116.6,falla
S01,2026-08-01 00:08:00,29.14,4.866,88.8,OK
S01,2026-08-01 00:09:00,33.16,5.002,139.3,OK
S03,2026-08-01 00:10:00,36.71,4.955,150.3,OK
S04,2026-08-01 00:11:00,43.64,4.848,104.1,OK
S03,2026-08-01 00:12:00,30.07,5.307,126.0,OK
S04,2026-08-01 00:13:00,33.77,5.268,105.5, Ok
S03,2026-08-01 00:14:00,38.89,5.17,107.4,OK
S04,2026-08-01 00:15:00,37.17,4.862,135.5, Ok
S03,2026-08-01 00:16:00,33.12,5.128,119.2,ok 
S01,2026-08-01 00:17:00,34.33,5.096,154.8,ok 
S04,2026-08-01 00:18:00,28.13,5.066,110.4,OK
S02,2026-08-01 00:19:00,33.81,5.187,140.0,OK
S03,2026-08-01 00:20:00,33.67,5.095,121.9,ok 
S02,2026-08-01 00:21:00,36.16,5.111,135.9,OK
S01,2026-08-01 00:22:00,32.22,5.096,111.1, Ok
S04,2026-08-01 00:23:00,37.36,5.051,119.0,OK
S04,2026-08-01 00:24:00,40.06,4.732,117.7,OK
S03,2026-08-01 00:25:00,35.78,5.013,103.3, Ok
S02,2026-08-01 00:26:00,36.76,4.917,133.2,ok 
S04,2026-08-01 00:27:00,35.27,4.808,133.0,OK
S03,2026-08-01 00:28:00,35.0,5.252,131.9, Ok
S02,2026-08-01 00:29:00,31.39,5.259,150.7,FALLA
S02,2026-08-01 00:30:00,36.58,N/A,149.0, Ok
S01,2026-08-01 00:31:00,34.51,5.038,112.5, Ok
S01,2026-08-01 00:32:00,45.47,5.203,127.5, Ok
S03,2026-08-01 00:33:00,42.87,5.002,107.5, Ok
S04,2026-08-01 00:34:00,36.93,5.03,120.5,OK
S01,2026-08-01 00:35:00,999.0,4.836,108.0, Ok
S04,2026-08-01 00:36:00,29.44,5.06,152.4,OK
S04,2026-08-01 00:37:00,40.96,5.009,127.3,ok 
S02,2026-08-01 00:38:00,36.31,4.805,115.6,OK
S03,2026-08-01 00:39:00,,4.992,143.9,ok 
S01,2026-08-01 00:40:00,26.28,4.988,76.6, Ok
S04,2026-08-01 00:41:00,39.64,5.27,79.7,ok 
S03,2026-08-01 00:42:00,37.27,5.134,135.9,OK
S02,2026-08-01 00:43:00,29.45,5.002,121.2,OK
S01,2026-08-01 00:44:00,32.64,5.037,125.0, Ok
S04,2026-08-01 00:45:00,36.32,5.007,93.5,ok 
S02,2026-08-01 00:46:00,35.26,4.97,119.5,ok 
S04,2026-08-01 00:47:00,33.54,4.838,160.1,ok 
S03,2026-08-01 00:48:00,34.48,4.977,136.5,OK
S04,2026-08-01 00:49:00,33.74,4.888,123.4,ok 
S04,2026-08-01 00:50:00,35.76,4.812,111.2,ok 
S01,2026-08-01 00:51:00,42.36,5.077,112.1, Ok
S02,2026-08-01 00:52:00,22.17,5.059,77.4,ok 
S02,2026-08-01 00:53:00,33.82,4.732,125.2, Ok
S02,2026-08-01 00:54:00,35.88,4.982,136.9, Ok
S01,2026-08-01 00:55:00,36.48,5.149,88.5,OK
S03,2026-08-01 00:56:00,33.14,5.159,106.8,ok 
S01,2026-08-01 00:57:00,26.22,5.154,96.9,ok 
S03,2026-08-01 00:58:00,36.64,5.006,100.7,OK
S03,2026-08-01 00:59:00,43.64,4.873,121.1,OK
S04,2026-08-01 01:00:00,27.33,4.837,78.3, Ok
S03,2026-08-01 01:01:00,39.32,5.052,132.3,ok 
S02,2026-08-01 01:02:00,33.36,5.057,135.1,OK
S04,2026-08-01 01:03:00,34.69,5.193,115.0,OK
S02,2026-08-01 01:04:00,29.74,5.165,70.4,OK
S02,2026-08-01 01:05:00,33.33,4.98,100.1,OK
S04,2026-08-01 01:06:00,41.5,4.813,144.7, Falla
S02,2026-08-01 01:07:00,37.91,4.952,64.4, Ok
S01,2026-08-01 01:08:00,43.66,5.033,113.0, Ok
S02,2026-08-01 01:09:00,40.89,4.97,96.4,ok 
S04,2026-08-01 01:10:00,37.2,4.913,136.1,ok 
S01,2026-08-01 01:11:00,43.72,5.038,106.5, Ok
S02,2026-08-01 01:12:00,37.19,4.924,128.1, Ok
S01,2026-08-01 01:13:00,39.14,4.906,131.3,OK
S03,2026-08-01 01:14:00,33.52,5.047,156.7, Ok
S02,2026-08-01 01:15:00,35.33,4.94,115.9,OK
S02,2026-08-01 01:16:00,31.51,5.037,127.5,OK
S01,2026-08-01 01:17:00,39.95,5.041,90.3,ok 
S03,2026-08-01 01:18:00,29.11,4.829,143.8, Ok
S03,2026-08-01 01:19:00,38.91,4.928,104.8,OK
S04,2026-08-01 01:20:00,34.05,5.216,108.8,OK
S02,2026-08-01 01:21:00,40.86,4.826,119.6,OK
S01,2026-08-01 01:22:00,38.75,4.683,88.7,ok 
S04,2026-08-01 01:23:00,44.1,4.721,124.6,falla
S03,2026-08-01 01:24:00,38.65,5.004,139.3,OK
S03,2026-08-01 01:25:00,27.14,5.005,125.9,OK
S01,2026-08-01 01:26:00,34.67,4.982,88.2,OK
S02,2026-08-01 01:27:00,29.14,5.182,117.5,OK
S04,2026-08-01 01:28:00,32.41,4.599,134.8,OK
S04,2026-08-01 01:29:00,42.56,5.059,82.4,ok 
S02,2026-08-01 01:30:00,38.19,5.234,98.5,ok 
S04,2026-08-01 01:31:00,31.51,4.831,137.5,ok 
S04,2026-08-01 01:32:00,29.93,4.943,125.4, Ok
S02,2026-08-01 01:33:00,35.16,4.887,128.2,ok 
S04,2026-08-01 01:34:00,28.92,4.866,157.2,OK
S02,2026-08-01 01:35:00,31.64,4.951,129.4,ok 
S01,2026-08-01 01:36:00,36.56,5.214,133.2,OK
S03,2026-08-01 01:37:00,40.78,5.276,174.2,FALLA
S03,2026-08-01 01:38:00,38.04,4.95,115.7,OK
S01,2026-08-01 01:39:00,23.54,5.286,104.0,OK
S04,2026-08-01 01:40:00,999.0,5.005,128.6, Ok
S01,2026-08-01 01:41:00,35.36,5.263,128.8,ok 
S04,2026-08-01 01:42:00,37.07,4.986,109.5,OK
S01,2026-08-01 01:43:00,43.08,5.02,99.4, Ok
S04,2026-08-01 01:44:00,24.68,5.055,166.2,OK
